trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,ISI.started,grating.started,key_resp.started,grating.stopped,trials.response,key_resp.corr,participant,session,date,expName,psychopyVersion,frameRate,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,1,0,start,0.01,db,0.05,0.43677470000693575,46.07141930000216,46.07141930000216,46.37551050000184,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,2,1,down,0.01,db,0.04994246849682526,0.0006957000005058944,48.50991300000169,48.50991300000169,48.80975149999722,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,3,2,down,0.01,db,0.049885003191127666,0.0006034999969415367,50.89407389999542,50.89407389999542,51.19381399999838,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,4,3,down,0.01,db,0.04982760400673841,0.0009789999894564971,53.27829529999872,53.27829529999872,53.57870399999956,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,5,4,down,0.01,db,0.04977027086757634,0.0007909000123618171,56.04635629999393,56.04635629999393,56.346366899990244,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,6,5,down,0.01,db,0.04971300369764783,0.0006973999988986179,58.43020639999304,58.43020639999304,58.730240899996716,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,7,6,down,0.01,db,0.04965580242104668,0.0006642999942414463,60.89812630000233,60.89812630000233,61.197764800002915,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,8,7,down,0.01,db,0.049598666961954065,0.0006828000041423365,63.265459200003534,63.265459200003534,63.56533230000059,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,9,8,down,0.01,db,0.04954159724463837,0.000690999993821606,65.71641139998974,65.71641139998974,66.0166207000002,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,10,9,down,0.01,db,0.049484593193455134,0.0006519000016851351,68.10068629999296,68.10068629999296,68.4005926999962,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,11,10,down,0.01,db,0.04942765473284693,0.0006550999969476834,70.43515829999524,70.43515829999524,70.7349486000021,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,12,11,down,0.01,db,0.04937078178734327,0.0007035000016912818,72.76923679999891,72.76923679999891,73.0690273999935,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,13,12,down,0.01,db,0.04931397428156051,0.0008674999990034848,75.25389789999463,75.25389789999463,75.55331809999188,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,14,13,down,0.01,db,0.04925723214020173,0.0006939000013517216,77.63787029999366,77.63787029999366,77.93754929999704,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,15,14,down,0.01,db,0.04920055528805667,0.0006980000034673139,80.03858419999597,80.03858419999597,80.33873789999052,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
